X,Y,Z,D
-49.758872452371,-25.3655044953542,1135.8787356255,2.14196848869324
-49.757630313656,-25.3654940157034,1135.61351111367,0.840650379657745
-49.7563881756349,-25.3654835255753,1135.17927001115,-0.0287489630281925
-49.7551460383083,-25.36547302497,1134.86809586924,0.955277919769287
-49.7539039016769,-25.3654625138875,1134.13296417632,3.9352719783783
-49.7526617657413,-25.3654519923277,1132.38026858276,5.5889196395874
-49.7514196305023,-25.3654414602907,1132.42037198326,6.80611324310303
-49.7501774959606,-25.3654309177766,1131.7362017442,8.02542686462402
-49.7489353621168,-25.3654203647853,1128.54445582452,10.7319221496582
-49.7476932289717,-25.3654098013169,1123.76581448672,14.607029914856
-49.7464510965259,-25.3653992273714,1118.05030990411,18.3007106781006
-49.7452089647802,-25.3653886429488,1114.86651063084,19.7964096069336
-49.7439668337352,-25.3653780480492,1110.31170846106,20.0662155151367
-49.7427247033916,-25.3653674426725,1108.72722378783,24.8175144195557
-49.7414825737502,-25.3653568268188,1106.42779959179,28.2161521911621
-49.7402404448116,-25.3653462004882,1107.39279591304,26.6767539978027
-49.7389983165764,-25.3653355636805,1113.73491247777,18.6935291290283
-49.7377561890455,-25.3653249163959,1120.50769151437,8.2035665512085
-49.7365140622194,-25.3653142586345,1127.09602296384,-3.27646517753601
-49.7352719360989,-25.3653035903961,1127.86246196209,-11.9844312667847
-49.7340298106848,-25.3652929116808,1127.18268419166,-15.4448661804199
-49.7327876859775,-25.3652822224887,1119.5310235567,-12.4995107650757
-49.7315455619779,-25.3652715228198,1115.78779646151,-6.82547330856323
-49.7303034386867,-25.3652608126741,1102.77459719985,-0.253713846206665
-49.7290613161046,-25.3652500920516,1072.86221553309,6.78790855407715
-49.7278191942322,-25.3652393609523,1031.6270232351,13.2285280227661
-49.7265770730702,-25.3652286193764,995.740043032789,18.2056159973145
-49.7253349526193,-25.3652178673237,958.691862359607,21.1507530212402
-49.7240928328803,-25.3652071047943,925.189624364986,22.6288814544678
-49.7228507138538,-25.3651963317882,890.956790855405,24.097806930542
-49.7216085955405,-25.3651855483056,856.033023698612,24.8264331817627
-49.720366477941,-25.3651747543463,819.192072302906,24.5519981384277
-49.7191243610562,-25.3651639499104,784.375787844098,23.5124645233154
-49.7178822448866,-25.365153134998,774.926214468046,22.8168792724609
-49.7166401294331,-25.365142309609,763.711981818378,22.2290954589844
-49.7153980146961,-25.3651314737435,743.19557745972,21.6818923950195
-49.7141559006766,-25.3651206274015,724.519025896848,20.8560066223145
-49.7129137873751,-25.365109770583,715.034828835615,19.9262657165527
-49.7116716747924,-25.3650989032881,709.403331145812,19.2975311279297
-49.7104295629291,-25.3650880255167,702.118449095729,19.2487010955811
-49.709187451786,-25.365077137269,710.986715029365,19.1163444519043
-49.7079453413636,-25.3650662385449,718.87463191581,18.7697429656982
-49.7067032316628,-25.3650553293444,727.749329716895,18.643970489502
-49.7054611226842,-25.3650444096676,732.777594706066,19.2572154998779
-49.7042190144285,-25.3650334795145,722.813341852728,19.2122344970703
-49.7029769068965,-25.365022538885,779.893082127081,17.3089923858643
-49.7017348000886,-25.3650115877794,829.925146401886,13.8506574630737
-49.7004926940059,-25.3650006261975,862.059828282311,10.7309560775757
-49.6992505886487,-25.3649896541394,873.842154171255,8.94152069091797
-49.698008484018,-25.3649786716051,851.69232873638,8.55868148803711
-49.6967663801142,-25.3649676785946,851.41285142705,8.99276924133301
-49.6955242769383,-25.364956675108,863.169897754693,9.75245475769043
-49.6942821744908,-25.3649456611453,884.168725047664,9.9131965637207
-49.6930400727725,-25.3649346367065,883.271190271387,8.33417797088623
-49.6917979717839,-25.3649236017917,855.231367665858,7.03378868103027
-49.690555871526,-25.3649125564007,847.210268733441,7.02349328994751
-49.6893137719992,-25.3649015005338,847.815111455439,7.28089046478271
-49.6880716732044,-25.3648904341909,850.949759622149,5.2423734664917
-49.6868295751422,-25.364879357372,830.986375892008,3.5185432434082
-49.6855874778132,-25.3648682700771,809.892638210144,2.45828366279602
-49.6843453812183,-25.3648571723064,768.588701085581,-0.814308047294617
-49.683103285358,-25.3648460640597,767.720737649238,-2.56545233726501
-49.6818611902332,-25.3648349453371,785.723021850873,-0.277876526117325
-49.6806190958444,-25.3648238161387,777.955875011627,6.35839891433716
-49.6793770021923,-25.3648126764645,780.658024843733,14.2413024902344
-49.6781349092777,-25.3648015263145,775.583276405771,14.5103158950806
-49.6768928171013,-25.3647903656887,765.297836028331,14.8694000244141
-49.6756507256637,-25.3647791945871,752.639971986374,19.3324718475342
